,phylum_name,feature_name,coef,coef_sd,lower_95,upper_95,count,significant,permutation_importance
0,Cyanobacteria,"Predicted aminopeptidase, Iap family",-0.8350880220952472,0.9695194310592412,-1.110622395382316,-0.5595536488081785,33,True,0.5556923076923079
1,Cyanobacteria,"Uncharacterized conserved protein, DUF697 family",-0.7209087062999585,0.5988208072832574,-0.891091696511701,-0.5507257160882161,40,True,0.36414358974358985
2,Cyanobacteria,"Uncharacterized protein, contains DUF1512 domain",2.271140560936971,0.9506945653409654,2.000956155285137,2.541324966588805,50,True,0.25142564102564113
3,Cyanobacteria,"Predicted DNA-binding transcriptional regulator with XRE-family HTH domain, DUF2089 family",-0.38714992995726016,0.6817013908498194,-0.5808873213693266,-0.19341253854519372,18,True,0.20720000000000013
4,Cyanobacteria,Phage protein U,-0.17590685244490167,0.367261355726565,-0.2802813747503706,-0.07153233013943272,13,True,0.1342564102564104
5,Cyanobacteria,"Uncharacterized conserved protein, DUF1820 domain",-0.30331210915655243,0.4199266802276851,-0.422653951059239,-0.1839702672538659,23,True,0.11501538461538467
6,Cyanobacteria,Predicted glycosyltransferase,-0.23715568304785836,0.43177697709728935,-0.35986534205315296,-0.11444602404256378,19,True,0.10596923076923075
7,Cyanobacteria,Predicted neuraminidase (sialidase),0.5814715116406848,0.7879306501198584,0.35754409882209415,0.8053989244592754,24,True,0.038625641025641
8,Cyanobacteria,"Uncharacterized protein, contains Mth938-like domain",-0.006722037807880444,0.047531985173446166,-0.020230478511897115,0.0067864028961362255,1,False,0.028861538461538494
9,Cyanobacteria,"Uncharacterized conserved protein, DUF1272 domain",0.2444799430061794,0.3766400557937815,0.1374400236364715,0.3515198623758873,23,True,0.02412307692307684
10,Cyanobacteria,"Uncharacterized conserved protein, DUF2321 domain",-0.02378104413073934,0.09883052825358879,-0.05186836945049213,0.004306281189013442,5,False,0.016800000000000075
11,Cyanobacteria,"Putative phage head morphogenesis protein, F of phage Mu or gp7 of SPP1",0.015146596677336149,0.10710261222442019,-0.015291628892235115,0.045584822246907415,1,False,0.012492307692307728
12,Cyanobacteria,"Uncharacterized membrane protein, YccA/Bax inhibitor family",-0.02898718096827867,0.12456497467774884,-0.06438815503009294,0.0064137930935356,3,False,0.01206153846153842
13,Cyanobacteria,"Uncharacterized conserved protein, DUF1033 domain",-0.9974255536031792,0.7805808332103299,-1.2192641715703567,-0.7755869356360018,41,True,0.011630769230769259
14,Cyanobacteria,"Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain",0.12749196511379432,0.2606124601209654,0.05342672354171106,0.20155720668587757,13,True,0.009189743589743523
15,Cyanobacteria,"Uncharacterized membrane protein, DUF1648 family",0.042902694983392886,0.14273746087558017,0.0023371574944002146,0.08346823247238555,5,True,0.006174358974359029
16,Cyanobacteria,"Predicted methyltransferase MtxX, methanogen marker protein 4",-0.037559423620934465,0.11470484690690931,-0.07015818037917136,-0.004960666862697569,7,True,0.005743589743589572
17,Cyanobacteria,Phosphatidylethanolamine N-methyltransferase,-0.46726505365888604,0.5847417592735067,-0.6334468227031405,-0.30108328461463163,27,True,0.002871794871794897
18,Cyanobacteria,"Uncharacterized conserved protein, DUF2062 family",-0.010321021765702201,0.05111508168449984,-0.024847767229760273,0.004205723698355869,2,False,0.00043076923076923457
19,Cyanobacteria,Predicted methyltransferase,0.0,0.0,,,0,False,0.0
20,Cyanobacteria,"Uncharacterized conserved protein, DUF2169 domain",0.0,0.0,,,0,False,0.0
21,Cyanobacteria,"Predicted 3-hydroxylacyl-ACP dehydratase, HotDog domain",0.0,0.0,,,0,False,0.0
22,Cyanobacteria,Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown),0.0,0.0,,,0,False,0.0
23,Cyanobacteria,"Uncharacterized conserved protein, DUF1326 domain",0.0,0.0,,,0,False,0.0
24,Cyanobacteria,"Uncharacterized conserved protein, DUF721 domain",0.0,0.0,,,0,False,0.0
25,Cyanobacteria,"Uncharacterized conserved protein, UPF0160 family",0.0,0.0,,,0,False,0.0
26,Cyanobacteria,Predicted metal-dependent enzyme of the double-stranded beta helix superfamily,0.0,0.0,,,0,False,0.0
27,Cyanobacteria,"Predicted ATP-dependent carboligase, ATP-grasp superfamily",0.0,0.0,,,0,False,0.0
28,Cyanobacteria,Predicted transcriptional regulator,0.0,0.0,,,0,False,0.0
29,Cyanobacteria,Uncharacterized membrane protein YjcL,0.0,0.0,,,0,False,0.0
30,Cyanobacteria,"Predicted ATPase, archaeal AAA+ ATPase superfamily",0.0,0.0,,,0,False,0.0
31,Cyanobacteria,"Uncharacterized conserved protein, DUF1365 family",0.0,0.0,,,0,False,0.0
32,Cyanobacteria,"Predicted protease, Abi (CAAX) family",0.0,0.0,,,0,False,0.0
33,Cyanobacteria,Predicted thioesterase,0.0,0.0,,,0,False,0.0
34,Cyanobacteria,"Predicted metal-dependent hydrolase, urease superfamily",0.0,0.0,,,0,False,0.0
