,Shuffled,Phylum Name,AUC,Accuracy,Precision,Recall
0,No,Cyanobacteriota,1.0,0.98,0.5,1.0
1,No,Coprothermobacterota,1.0,1.0,1.0,1.0
2,No,Chloroflexota,0.997,0.978,0.615,1.0
3,No,Verrucomicrobiota,0.996,0.993,0.955,1.0
4,No,Bacteroidota,0.989,0.967,0.923,0.975
5,No,Aquificota,1.0,1.0,1.0,1.0
6,No,Firmicutes_C,0.984,0.952,0.943,0.958
7,No,Firmicutes_F,1.0,1.0,1.0,1.0
8,No,Actinobacteriota,0.99,0.962,0.883,0.94
9,No,Dictyoglomota,1.0,1.0,1.0,1.0
10,No,Planctomycetota,0.992,0.989,0.5,1.0
11,No,Firmicutes_A,0.984,0.963,0.906,0.931
12,No,Campylobacterota,0.94,0.918,0.789,0.882
13,No,Cloacimonadota,1.0,1.0,1.0,1.0
14,No,Synergistota,0.685,0.903,0.667,0.5
15,No,Nitrospirota,1.0,0.971,0.75,1.0
16,No,Thermotogota,0.853,0.927,0.75,0.6
17,No,Proteobacteria,0.956,0.924,0.805,0.831
18,No,Deinococcota,1.0,0.975,1.0,0.966
19,No,Fusobacteriota,0.881,0.791,0.818,0.562
20,No,Desulfuromonadota,0.938,0.882,0.333,1.0
21,No,Desulfobacterota,0.958,0.97,0.722,0.929
22,No,Firmicutes,0.953,0.88,0.789,0.879
23,No,Acidobacteriota,1.0,1.0,1.0,1.0
24,No,Spirochaetota,0.995,0.991,0.8,1.0
25,Yes,Chloroflexota,0.408,0.913,0.0,0.0
26,Yes,Deinococcota,0.751,0.75,0.788,0.897
27,Yes,Bacteroidota,0.52,0.568,0.325,0.378
28,Yes,Dictyoglomota,1.0,0.667,0.5,1.0
29,Yes,Nitrospirota,0.511,0.676,0.0,0.0
30,Yes,Cloacimonadota,0.625,0.875,0.0,0.0
31,Yes,Acidobacteriota,0.49,0.987,0.0,0.0
32,Yes,Coprothermobacterota,0.0,0.25,0.5,0.333
33,Yes,Desulfuromonadota,0.406,0.882,0.0,0.0
34,Yes,Planctomycetota,0.486,0.967,0.0,0.0
35,Yes,Thermotogota,0.653,0.805,0.2,0.2
36,Yes,Campylobacterota,0.597,0.671,0.333,0.412
37,Yes,Firmicutes_F,0.286,0.75,0.0,0.0
38,Yes,Desulfobacterota,0.508,0.756,0.114,0.357
39,Yes,Spirochaetota,0.565,0.963,0.5,0.25
40,Yes,Firmicutes_A,0.491,0.589,0.224,0.344
41,Yes,Firmicutes_C,0.458,0.482,0.464,0.533
42,Yes,Fusobacteriota,0.432,0.558,0.286,0.125
43,Yes,Actinobacteriota,0.463,0.536,0.169,0.315
44,Yes,Firmicutes,0.522,0.607,0.378,0.258
45,Yes,Synergistota,0.579,0.613,0.1,0.25
46,Yes,Cyanobacteriota,0.518,0.908,0.0,0.0
47,Yes,Aquificota,0.333,0.545,0.0,0.0
48,Yes,Verrucomicrobiota,0.5,0.635,0.149,0.31
49,Yes,Proteobacteria,0.502,0.49,0.21,0.537
