,phylum_name,feature_name,coefficient
0,Bacteroidota,1-acyl-sn-glycerol-3-phosphate acyltransferase,-0.0022776479191701
1,Bacteroidota,16S rRNA C1402 (ribose-2'-O) methylase RsmI,-0.0014415994908306
2,Bacteroidota,16S rRNA C1402 N4-methylase RsmH,0.0010920112629858
3,Bacteroidota,"16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family",0.0077562648769286
4,Bacteroidota,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,0.0007400863696163
5,Bacteroidota,2-methylcitrate dehydratase PrpD,-0.001749867087245
6,Bacteroidota,"23S rRNA accumulation protein YceD (essential in plants, uncharacterized in bacteria)",-0.0011945915041807
7,Bacteroidota,23S rRNA G2445 N2-methylase RlmL,-0.001901924612253
8,Bacteroidota,3-deoxy-D-manno-octulosonic-acid transferase,0.0010774956434439
9,Bacteroidota,3-methyladenine DNA glycosylase Tag,0.0114359689357719
10,Bacteroidota,3-methylpurine DNA glycosylase AlkC,0.0010565643539219
11,Bacteroidota,3-oxoacyl-[acyl-carrier-protein] synthase III,-0.0025002443716432
12,Bacteroidota,3-polyprenyl-4-hydroxybenzoate decarboxylase,-0.0021001979361411
13,Bacteroidota,"3,4-dihydroxy-2-butanone 4-phosphate synthase",0.0023240364630699
14,Bacteroidota,3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase,0.0013652207104628
15,Bacteroidota,"3',5'-cyclic AMP phosphodiesterase CpdA",-0.0014630289218474
16,Bacteroidota,3’-5’ helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V),-0.0027858246055684
17,Bacteroidota,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE,2.720196466489312e-05
18,Bacteroidota,4-hydroxy-tetrahydrodipicolinate reductase,0.0021463550546138
19,Bacteroidota,4-hydroxybenzoate polyprenyltransferase,0.0112245624064028
20,Bacteroidota,"5-carboxyvanillate decarboxylase LigW (lignin degradation), amidohydro domain",-0.0010674010928579
21,Bacteroidota,5-formyltetrahydrofolate cyclo-ligase,0.0010646559709631
22,Bacteroidota,5-oxoprolinase subunit C/Allophanate hydrolase subunit 2,-0.0023758230319589
23,Bacteroidota,"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase",0.0003814968937297
24,Bacteroidota,5'-deoxynucleotidase YfbR and related HD superfamily hydrolases,0.0013461911047968
25,Bacteroidota,6-phosphofructokinase,-0.0039635684052527
26,Bacteroidota,6-phosphogluconate dehydrogenase,-0.0003742648177599
27,Bacteroidota,6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase,0.0030842986942335
28,Bacteroidota,6-pyruvoyl-tetrahydropterin synthase,-0.0100400898629371
29,Bacteroidota,"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)",0.0019095845670198
30,Bacteroidota,"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase (folate biosynthesis)",0.0015123128513975
31,Bacteroidota,"AAA+-type ATPase, SpoVK/Ycf46/Vps4 family",-0.0118074414461561
32,Bacteroidota,"ABC-type amino acid transport system, permease component",0.0059226170175461
33,Bacteroidota,"ABC-type branched-chain amino acid transport system, ATPase component LivF",0.0018921289195929
34,Bacteroidota,"ABC-type Co2+ transport system, permease component",-0.013264132243548
35,Bacteroidota,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",0.0009572822161798
36,Bacteroidota,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component",-0.000230397276106
37,Bacteroidota,"ABC-type Fe3+-siderophore transport system, permease component",-0.0060077626924344
38,Bacteroidota,"ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component",0.0023793355369862
39,Bacteroidota,"ABC-type iron transporter FetAB, ATPase component",0.0156203311851415
40,Bacteroidota,"ABC-type lipopolysaccharide export system, ATPase component",0.0156049128215239
41,Bacteroidota,"ABC-type lipoprotein export system, ATPase component",-0.0113230617283804
42,Bacteroidota,"ABC-type microcin C transport system, permease component YejE",4.086258764232056e-05
43,Bacteroidota,"ABC-type Mn2+/Zn2+ transport system, ATPase component",0.0157009876426028
44,Bacteroidota,"ABC-type multidrug transport system, permease component",0.0001896570392185
45,Bacteroidota,"ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component",0.008533646284394
46,Bacteroidota,"ABC-type phosphate transport system, ATPase component",-0.000639412433614
47,Bacteroidota,"ABC-type phosphate/phosphonate transport system, ATPase component",-0.0051183054058228
48,Bacteroidota,"ABC-type phosphate/phosphonate transport system, periplasmic component",0.0017158371357098
49,Bacteroidota,"ABC-type polar amino acid transport system, ATPase component",0.0017355506621979
50,Bacteroidota,"ABC-type proline/glycine betaine transport system, permease component",-0.0017190814465742
51,Bacteroidota,"ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain",-0.0056056966540051
52,Bacteroidota,"ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components",-0.0023391751957038
53,Bacteroidota,"ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components",-0.0005009195442936
54,Bacteroidota,"ABC-type transport system involved in cytochrome c biogenesis, permease component",7.328142777876143e-05
55,Bacteroidota,"ABC-type tungstate transport system, permease component TupA",0.0007295222534631
56,Bacteroidota,"ABC-type xylose transport system, periplasmic component",0.0020593660727508
57,Bacteroidota,"Abortive phage infection protein AbiEi, antitoxin conponent of an AbiEi-AbiEii TA system",-0.0003164544720264
58,Bacteroidota,Acetate kinase,0.001756735925424
59,Bacteroidota,Acetoin utilization deacetylase AcuC or a related deacetylase,0.0024279013062968
60,Bacteroidota,"Acetolactate synthase, small subunit",0.0053031056473107
61,Bacteroidota,"Acetyl xylan esterase AxeA and related esterases, LpqC family",0.0013613124362968
